ISO_A2,University,Count,Country,Region
RU,Academy of Management and Entrepreneurship,316,Russia,Europe
RU,Adygeja State University,316,Russia,Europe
RU,Altai State Medical University,316,Russia,Europe
RU,Altai State Technical University,316,Russia,Europe
RU,Altai State University,316,Russia,Europe
RU,Amur State University,316,Russia,Europe
RU,Arhangelsk State Technical University,316,Russia,Europe
RU,Astrahan State Medical Academy,316,Russia,Europe
RU,Astrahan State Technical University,316,Russia,Europe
RU,Astrakhan State University,316,Russia,Europe
RU,Baikal National University of Economics and Law,316,Russia,Europe
RU,Baltic State Technical University,316,Russia,Europe
RU,Bashkir State Agrarian University,316,Russia,Europe
RU,Bashkir State Medical University,316,Russia,Europe
RU,Bashkir State Pedagogical University named After M. Akmullah,316,Russia,Europe
RU,Bashkir State University,316,Russia,Europe
RU,Bauman Moscow State Technical University,316,Russia,Europe
RU,Belgorod State Agricultural Academy,316,Russia,Europe
RU,Belgorod State Technical University,316,Russia,Europe
RU,Belgorod State University,316,Russia,Europe
RU,Birsk State Pedagogical Institute,316,Russia,Europe
RU,Biysk State Padagogical University after V.M. Shukshin ,316,Russia,Europe
RU,Bratsk State Technical University,316,Russia,Europe
RU,Brjansk State Technical University,316,Russia,Europe
RU,Burjat State University,316,Russia,Europe
RU,Cheljabinsk State Institute of Teacher Training,316,Russia,Europe
RU,Cheljabinsk State University,316,Russia,Europe
RU,Cheljabinsk University of Agricultural Engineering,316,Russia,Europe
RU,Chuvash State University,316,Russia,Europe
RU,Dagestan State University,316,Russia,Europe
RU,Don State Agrarian University,316,Russia,Europe
RU,Don State Technical University,316,Russia,Europe
RU,"Dubna International University for Nature, Society and Man",316,Russia,Europe
RU,East-Siberian State Institute of Culture,316,Russia,Europe
RU,East-Siberian State University,316,Russia,Europe
RU,East-Siberian State University of Technology,316,Russia,Europe
RU,European University at St.Petersburg,316,Russia,Europe
RU,Far Easten State University of Humanities,316,Russia,Europe
RU,Far Eastern State Technical Fisheries University,316,Russia,Europe
RU,Far Eastern State Technical University,316,Russia,Europe
RU,Far Eastern State University,316,Russia,Europe
RU,Far East State Transport University,316,Russia,Europe
RU,Finance Academy,316,Russia,Europe
RU,Gnesins Russian Academy of Music,316,Russia,Europe
RU,Gorno-Altaisk State University,316,Russia,Europe
RU,Gubkin Russian State University of Oil and Gas,316,Russia,Europe
RU,Herzen State Pedagogical University of Russia,316,Russia,Europe
RU,Higher School of Economics,316,Russia,Europe
RU,Immanuel Kant State University of Russia,316,Russia,Europe
RU,I.M. Sechenov Moscow Medical Academy,316,Russia,Europe
RU,Institute for the Economy in Transition,316,Russia,Europe
RU,Institute of Business and Politics,316,Russia,Europe
RU,Institute of Management and Economy,316,Russia,Europe
RU,"International Banking Institute, St. Petersburg",316,Russia,Europe
RU,International East-European University,316,Russia,Europe
RU,"International University of Engineering, Moscow",316,Russia,Europe
RU,"International University of Fundamental Studies, St. Petersburg",316,Russia,Europe
RU,Irkutsk State Academy of Economics,316,Russia,Europe
RU,Irkutsk State Technical University,316,Russia,Europe
RU,Irkutsk State University,316,Russia,Europe
RU,Ivanovo State Academy of Medicine,316,Russia,Europe
RU,Ivanovo State Power University,316,Russia,Europe
RU,Ivanovo State Textile Academy,316,Russia,Europe
RU,Ivanovo State University,316,Russia,Europe
RU,Ivanovo State University of Chemistry and Technology,316,Russia,Europe
RU,Izhevsk State Technical University,316,Russia,Europe
RU,Jewish University in Moscow,316,Russia,Europe
RU,Kabardino-Balkarian State University,316,Russia,Europe
RU,Kaliningrad State Technical University,316,Russia,Europe
RU,Kalmyk State University,316,Russia,Europe
RU,Kaluga State Pedagogical University,316,Russia,Europe
RU,Kamchatka State University Vitus Bering,316,Russia,Europe
RU,Karelian State Pedagogical University,316,Russia,Europe
RU,Kazan State Academy of Architecture and Civil Engineering,316,Russia,Europe
RU,Kazan State Finance and Economics Institute ,316,Russia,Europe
RU,Kazan State Music Conservatory,316,Russia,Europe
RU,Kazan State Pedagogical University,316,Russia,Europe
RU,Kazan State University,316,Russia,Europe
RU,Kazan State University of Medicine,316,Russia,Europe
RU,Kazan State University of Technology,316,Russia,Europe
RU,Kemerovo State University,316,Russia,Europe
RU,Khabarovsk State Academy of Economics and Law,316,Russia,Europe
RU,Khabarovsk State University of Technology,316,Russia,Europe
RU,Komsomolsk-on-Amur State Technical University,316,Russia,Europe
RU,Kostroma State Technological University,316,Russia,Europe
RU,Krasnoyarsk State Technical University,316,Russia,Europe
RU,Kuban State University,316,Russia,Europe
RU,Kuban State University of Agriculture,316,Russia,Europe
RU,Kuban State University of Technology,316,Russia,Europe
RU,Kurgan International University,316,Russia,Europe
RU,Kursk State Medical University,316,Russia,Europe
RU,Kursk State Technical University,316,Russia,Europe
RU,Kursk State University,316,Russia,Europe
RU,Kuzbass State Technical University,316,Russia,Europe
RU,Linguistic University of Nizhny Novgorod,316,Russia,Europe
RU,Lipeck State Technical University,316,Russia,Europe
RU,Magnitogorsk State University,316,Russia,Europe
RU,Marij State Technical University,316,Russia,Europe
RU,Marij State University,316,Russia,Europe
RU,Maxim Gorky Institute of Literature,316,Russia,Europe
RU,Mendeleev Russian University of Chemical Technology,316,Russia,Europe
RU,Modern Institute of Managament,316,Russia,Europe
RU,Modern University for the Humanities,316,Russia,Europe
RU,Mordovian State University,316,Russia,Europe
RU,Moscow External University of the Humanities,316,Russia,Europe
RU,Moscow Institute of Physics and Technology,316,Russia,Europe
RU,Moscow International Higher Business School (MIRBIS),316,Russia,Europe
RU,Moscow P. I. Tchaikovsky Conservatory,316,Russia,Europe
RU,Moscow Power Engineering Institute (Technical University),316,Russia,Europe
RU,Moscow State Academy of Applied Biotechnology,316,Russia,Europe
RU,Moscow State Automobile and Road Technical University,316,Russia,Europe
RU,Moscow State Industrial University,316,Russia,Europe
RU,Moscow State Institute of International Relations MFA Russia (MGIMO-University),316,Russia,Europe
RU,"Moscow State Institute of Radiotechnics, Electronics and Automation (Technical University)",316,Russia,Europe
RU,Moscow State Institute of Steel and Alloys,316,Russia,Europe
RU,Moscow State Technical University of Civil Aviation,316,Russia,Europe
RU,Moscow State Textile University A.N. Kosygin,316,Russia,Europe
RU,Moscow State University,316,Russia,Europe
RU,Moscow State University M.V. Lomonosov,316,Russia,Europe
RU,Moscow State University of Civil Engineering,316,Russia,Europe
RU,Moscow State University of Commerce,316,Russia,Europe
RU,Moscow State University of Culture,316,Russia,Europe
RU,Moscow State University of Ecological Engineering,316,Russia,Europe
RU,"Moscow State University of Economics, Statistics and Informatics",316,Russia,Europe
RU,Moscow State University of Environmental Engineering,316,Russia,Europe
RU,Moscow State University of Forestry Engineering,316,Russia,Europe
RU,Moscow State University of Geodesy and Cartography,316,Russia,Europe
RU,Moscow State University of Railway Transport,316,Russia,Europe
RU,Moscow State University of Technology (Stankin),316,Russia,Europe
RU,Moscow Technical University of Informatics and Communication,316,Russia,Europe
RU,Moscow University Touro,316,Russia,Europe
RU,Murmansk State Technical University,316,Russia,Europe
RU,National Research University of Electronic Technology,316,Russia,Europe
RU,Nayanova University,316,Russia,Europe
RU,Nevsky Institute of Language and Culture,316,Russia,Europe
RU,New Economic School,316,Russia,Europe
RU,"NGO Vladikavkaz Institute of Economics, Management, and Law",316,Russia,Europe
RU,Nizhny Novgorod State Academy of Medicine,316,Russia,Europe
RU,Nizhny Novgorod State Architectural - Building University,316,Russia,Europe
RU,Nizhny Novgorod State Technical University,316,Russia,Europe
RU,Nizhny Novgorod State University,316,Russia,Europe
RU,Northern State Medical University,316,Russia,Europe
RU,North Ossetian State University,316,Russia,Europe
RU,North-West State Technical University,316,Russia,Europe
RU,Novgorod State University,316,Russia,Europe
RU,Novosibirsk State Academy of Economics and Mangement,316,Russia,Europe
RU,Novosibirsk State Agricultural University,316,Russia,Europe
RU,Novosibirsk State Medical Academy,316,Russia,Europe
RU,Novosibirsk State Music Academy M. Glinka,316,Russia,Europe
RU,Novosibirsk State Technical University,316,Russia,Europe
RU,Novosibirsk State University,316,Russia,Europe
RU,Obninsk State Technical University for Nuclear Power Engineering,316,Russia,Europe
RU,Omsk State Agrarian University,316,Russia,Europe
RU,Omsk State Medicical Academy,316,Russia,Europe
RU,Omsk State Pedagogical University,316,Russia,Europe
RU,Omsk State Technical University,316,Russia,Europe
RU,Omsk State Transport University,316,Russia,Europe
RU,Omsk State University,316,Russia,Europe
RU,Orenburg State University,316,Russia,Europe
RU,Oriental University,316,Russia,Europe
RU,Penza State University,316,Russia,Europe
RU,People' s Friendship University of Russia,316,Russia,Europe
RU,Perm State Academy of Agriculture,316,Russia,Europe
RU,Perm State Medical Academy,316,Russia,Europe
RU,Perm State Pedagogical University,316,Russia,Europe
RU,Perm State Pharmaceutical Academy,316,Russia,Europe
RU,Perm State Technical University,316,Russia,Europe
RU,Perm State University,316,Russia,Europe
RU,Petrozavodsk State University,316,Russia,Europe
RU,Pjatigorsk State Linguistic University,316,Russia,Europe
RU,Plekhanov Russian Academy of Economics,316,Russia,Europe
RU,Pomorsk State University,316,Russia,Europe
RU,Pomor State University,316,Russia,Europe
RU,Rostov State Medical University,316,Russia,Europe
RU,Rostov State University,316,Russia,Europe
RU,Russian Academy of Arts,316,Russia,Europe
RU,Russian Academy of Theatre Arts,316,Russia,Europe
RU,"Russian Customs Academy, Vladivostok Branch",316,Russia,Europe
RU,Russian State Geological Prospecting University ,316,Russia,Europe
RU,Russian State Hydrometeorological University,316,Russia,Europe
RU,Russian State Medical University,316,Russia,Europe
RU,Russian State University for the Humanities,316,Russia,Europe
RU,Ryazan State Pedagogical University,316,Russia,Europe
RU,Rybinsk State Academy of Aviational Technology,316,Russia,Europe
RU,Sakhalin State University,316,Russia,Europe
RU,Samara State Academy for Railway Transportation,316,Russia,Europe
RU,Samara State Academy of Architecture and Civil Engineering,316,Russia,Europe
RU,Samara State Aerospace University,316,Russia,Europe
RU,Samara State Agricultural Academy,316,Russia,Europe
RU,Samara State Medical University,316,Russia,Europe
RU,Samara State Technical University,316,Russia,Europe
RU,Samara State University,316,Russia,Europe
RU,Samara State University of Economics,316,Russia,Europe
RU,Samara State University of Teacher Training,316,Russia,Europe
RU,Saratov State Academy of Law,316,Russia,Europe
RU,Saratov State Agrarian University,316,Russia,Europe
RU,Saratov State Medical University,316,Russia,Europe
RU,Saratov State Socio-Economic University,316,Russia,Europe
RU,Saratov State Technical University,316,Russia,Europe
RU,Saratov State University,316,Russia,Europe
RU,Siberian Academy of Public Services,316,Russia,Europe
RU,Siberian State Industrial University,316,Russia,Europe
RU,Siberian State Medical University,316,Russia,Europe
RU,Siberian State Transport University,316,Russia,Europe
RU,Siberian State University of Telecommunications and Informatics,316,Russia,Europe
RU,Skrjabin Moscow State Academy of Veterinary Medicine and Biotechnology,316,Russia,Europe
RU,Smolensk Humanitarian University,316,Russia,Europe
RU,Smolensk State Medical Academy,316,Russia,Europe
RU,Smolny University,316,Russia,Europe
RU,Southern Ural State University,316,Russia,Europe
RU,State Maritine Academy,316,Russia,Europe
RU,State University of Aerospace Technologies,316,Russia,Europe
RU,State University of Management,316,Russia,Europe
RU,Stavropol State Technical University,316,Russia,Europe
RU,Stavropol State University,316,Russia,Europe
RU,Sterlitamak State Pedagogical Institute,316,Russia,Europe
RU,St. Petersburg Institute of Arts and Restoration,316,Russia,Europe
RU,St. Petersburg Institute of Sales Management and Economics,316,Russia,Europe
RU,St. Petersburg Repin State Academic Institute of Painting Sculpture and Achitecture,316,Russia,Europe
RU,St. Petersburg State Academy for Engineering Economics (ENGECON),316,Russia,Europe
RU,St. Petersburg State Agrarian University,316,Russia,Europe
RU,St. Petersburg State Chemical Pharmaceutical Academy,316,Russia,Europe
RU,St. Petersburg State Cinema and TV University,316,Russia,Europe
RU,St. Petersburg State Conservatory,316,Russia,Europe
RU,St. Petersburg State Electrotechnical University,316,Russia,Europe
RU,St. Petersburg State Forest-Technical Academy,316,Russia,Europe
RU,St. Petersburg State Institute of Technology (Technological University),316,Russia,Europe
RU,St. Petersburg State Marine Technical University,316,Russia,Europe
RU,St. Petersburg StateMechnikov  Medical Academy,316,Russia,Europe
RU,St. Petersburg State Medical Academy,316,Russia,Europe
RU,St. Petersburg State Mining Institute (Technical University),316,Russia,Europe
RU,St. Petersburg State Mountain Institut,316,Russia,Europe
RU,St. Petersburg State Pediatric Medical Academy,316,Russia,Europe
RU,St. Petersburg State Polytechnical University,316,Russia,Europe
RU,St. Petersburg State Technical University,316,Russia,Europe
RU,St. Petersburg State Technological University of Plant Polymers,316,Russia,Europe
RU,St. Petersburg State Theatre Arts Academy,316,Russia,Europe
RU,St. Petersburg State University,316,Russia,Europe
RU,St. Petersburg State University of Aerospace Instrumentation,316,Russia,Europe
RU,St. Petersburg State University of Architecture and Civil Engineering,316,Russia,Europe
RU,St. Petersburg State University of Civil Aviation,316,Russia,Europe
RU,St. Petersburg State University of Culture and Arts,316,Russia,Europe
RU,St. Petersburg State University of Culture and Arts,316,Russia,Europe
RU,St. Petersburg State University of Economics and Finance,316,Russia,Europe
RU,St. Petersburg State University of Engineering and Economics,316,Russia,Europe
RU,"St. Petersburg State University of Information Technologies, Mechanics and Optics",316,Russia,Europe
RU,St. Petersburg State University of Technology and Design,316,Russia,Europe
RU,St. Petersburg State University of Telecommunication,316,Russia,Europe
RU,St. Petersburg State University of Waterway Communications,316,Russia,Europe
RU,Surgut State University,316,Russia,Europe
RU,Syktyvkar State University,316,Russia,Europe
RU,Taganrog State Pedagogical Institute,316,Russia,Europe
RU,Taganrog State University of Radioengineering,316,Russia,Europe
RU,Tambov State Technical University,316,Russia,Europe
RU,Timirjazev Moscow Academy of Agricultutre,316,Russia,Europe
RU,Togliatti State University,316,Russia,Europe
RU,Tomsk Polytechnic University,316,Russia,Europe
RU,Tomsk State Pedagogical University,316,Russia,Europe
RU,Tomsk State University,316,Russia,Europe
RU,Tomsk State University of Architecture and Building,316,Russia,Europe
RU,Tomsk State University of Control Systems and Radioelectronics,316,Russia,Europe
RU,Tula State University,316,Russia,Europe
RU,Tuva State University,316,Russia,Europe
RU,Tver State Medical Academy,316,Russia,Europe
RU,Tver State Technical University,316,Russia,Europe
RU,Tver State University,316,Russia,Europe
RU,Tyumen State Agricultural Academy,316,Russia,Europe
RU,Tyumen State University,316,Russia,Europe
RU,Tyumen State University of Gas and Oil,316,Russia,Europe
RU,Udmurt State University,316,Russia,Europe
RU,Ufa State Aviation Technical University,316,Russia,Europe
RU,Ufa State Institute of Arts,316,Russia,Europe
RU,Ufa State Petroleum Technological University,316,Russia,Europe
RU,Ukhta State Technical University,316,Russia,Europe
RU,Ulyanovsk Higher School of Civil Aviation,316,Russia,Europe
RU,Ulyanovsk State Agricultural Academy,316,Russia,Europe
RU,Ulyanovsk State Pedagogical University,316,Russia,Europe
RU,Ulyanovsk State Technical University,316,Russia,Europe
RU,Ulyanovsk State University,316,Russia,Europe
RU,Ural Academy of Public Administration,316,Russia,Europe
RU,Ural Gorkij State University,316,Russia,Europe
RU,Ural State Academy of Architecture and Arts,316,Russia,Europe
RU,Ural State Academy of Law,316,Russia,Europe
RU,Ural State Academy of Mining and Geology,316,Russia,Europe
RU,Ural State Academy of Railway Transport,316,Russia,Europe
RU,Ural State Conservatory,316,Russia,Europe
RU,Ural State Forestry Technical Academy,316,Russia,Europe
RU,Ural State Technical University,316,Russia,Europe
RU,Ural State University of Economics,316,Russia,Europe
RU,Vaganova Academy of Russian Ballet,316,Russia,Europe
RU,Vladimir State University,316,Russia,Europe
RU,Vladivostock State University of Economics,316,Russia,Europe
RU,Volga State Academy of Water Transport,316,Russia,Europe
RU,Volgograd Medical Academy,316,Russia,Europe
RU,Volgograd State Academy of Physical Education,316,Russia,Europe
RU,Volgograd State Pedagogical University,316,Russia,Europe
RU,Volgograd State Technical University,316,Russia,Europe
RU,Volgograd State University,316,Russia,Europe
RU,Volgograd State University of Architecture and Civil Engineering (VolgGASU),316,Russia,Europe
RU,Vologda State Pedagogical University,316,Russia,Europe
RU,Voronezh State Academy of Technology,316,Russia,Europe
RU,Voronezh State Agricultural University,316,Russia,Europe
RU,Voronezh State Medical Academy,316,Russia,Europe
RU,Voronezh State Pedagogical University,316,Russia,Europe
RU,Voronezh State Technical University,316,Russia,Europe
RU,Voronezh State University,316,Russia,Europe
RU,Vyatka State Pedagogical University,316,Russia,Europe
RU,Yakutsk State University,316,Russia,Europe
RU,Yaroslavl International University of Business and New Technologies,316,Russia,Europe
RU,Yaroslavl State Medical Academy,316,Russia,Europe
RU,Yaroslavl State Pedagogical University,316,Russia,Europe
RU,Yaroslavl State Technical University,316,Russia,Europe
RU,Yaroslavl State Theatre Institute,316,Russia,Europe
RU,Yaroslavl State University,316,Russia,Europe
RU,Yelets State University,316,Russia,Europe
RU,Yugra State University,316,Russia,Europe
